Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,VALUBusy,VALUUtilization,SQ_WAVES,LDSBankConflict,MemUnitStalled,SQ_WAIT_INST_LDS,SQ_INSTS_VMEM_RD,SQ_INSTS_VALU,SQ_INSTS_LDS,DispatchNs,BeginNs,EndNs,CompleteNs
101105,"void miso::kernels::embed_q4k_kernel<2048u, 256>(miso::kernels::EmbedParams, unsigned int) [clone .kd]",1,1,101407,1059749,1059749,256,256,0,0,24,0,32,64,0x0,0x708db8461740,0.0481111903,100.0000000000,4,0.0000000000,0.2099086420,0,128,972,0,37424025852548,37424025609672,37424044264767,37424045549635
101106,"void miso::kernels::add_rmsnorm_kernel<2048u, 512>(miso::kernels::AddRmsNormParams, unsigned int) [clone .kd]",1,1,101408,1059749,1059749,512,512,512,0,28,0,32,64,0x0,0x708db8461680,0.0332993305,98.6135563380,8,0.0000000000,0.2163112178,34,64,544,24,37424044164487,37424044264767,37424044592768,37424053946527
101107,"void miso::kernels::q6k_gemv_kernel<2048u, 256, 2>(miso::kernels::Q6kGemvParams) [clone .kd]",1,1,101409,1059749,1059749,122880,256,0,0,60,0,32,64,0x0,0x708db844b000,22.7294332206,97.7548106005,1920,0.0000000000,16.8764402654,0,48128,1430784,0,37424044563957,37424044592768,37424044905889,37424053831327
101108,"void miso::kernels::q4k_gemv_kernel<(miso::kernels::ActFormat)1, 2048u, 256, 4>(miso::kernels::Q4kGemvParams) [clone .kd]",1,1,101410,1059749,1059749,61440,256,0,0,72,0,48,64,0x0,0x708db844af40,12.1093123472,96.7263834227,960,0.0000000000,9.7418522561,0,16000,496080,0,37424044822348,37424044905889,37424045050850,37424053711881
101109,"void miso::kernels::deltanet_step_kernel<256>(miso::kernels::DeltaNetStepParams) [clone .kd]",1,1,101411,1059749,1059749,8192,256,3072,0,184,0,64,64,0x0,0x708db8121400,2.3470313852,99.7167266187,128,0.0000000000,1.1363457389,966,9536,84096,7616,37424044998914,37424045050850,37424045221730,37424053521406
101110,"void miso::kernels::q4k_gemv_kernel<(miso::kernels::ActFormat)1, 4096u, 256, 4>(miso::kernels::Q4kGemvParams) [clone .kd]",1,1,101412,1059749,1059749,61440,256,0,0,112,0,48,64,0x0,0x708db844afc0,9.4155248869,97.3191588723,960,0.0000000000,2.7339731565,0,16384,451392,0,37424045172642,37424045221730,37424045413411,37424053401798
101111,"void miso::kernels::add_rmsnorm_kernel<2048u, 512>(miso::kernels::AddRmsNormParams, unsigned int) [clone .kd]",1,1,101413,1059749,1059749,512,512,512,0,28,0,32,64,0x0,0x708db8461680,0.0248264091,98.7695312500,8,0.0000000000,0.3350755122,27,96,616,24,37424045348271,37424045413411,37424045554851,37424053282594
101112,"void miso::kernels::moe_router_kernel<256>(miso::kernels::MoeRouterParams) [clone .kd]",1,1,101414,1059749,1059749,16640,256,0,0,36,0,32,64,0x0,0x708daf3e3580,1.8230926459,94.2115461618,260,0.0000000000,0.4865313872,0,3084,25709,0,37424045523701,37424045554851,37424045716132,37424053165141
101113,"void miso::kernels::moe_gate_up_kernel<256>(miso::kernels::MoeGateUpParams) [clone .kd]",1,1,101415,1059749,1059749,30720,256,512,0,64,0,48,64,0x0,0x708daf3e35c0,29.7283575721,83.4189264810,480,0.0000000000,1.5080298915,836,23712,1256456,10593,37424045690581,37424045716132,37424045874212,37424053041362
101114,"void miso::kernels::moe_down_kernel<(miso::kernels::QType)1, 256>(miso::kernels::MoeDownParams) [clone .kd]",1,1,101416,1059749,1059749,30720,256,18944,0,108,0,32,64,0x0,0x708daf3e3640,28.3280015768,98.5072471719,480,6.9863699077,0.5938957601,302796,33456,1113176,21840,37424045815585,37424045874212,37424046001253,37424052925831
101115,"void miso::kernels::add_rmsnorm_kernel<2048u, 512>(miso::kernels::AddRmsNormParams, unsigned int) [clone .kd]",1,1,101417,1059749,1059749,512,512,512,0,28,0,32,64,0x0,0x708db8461680,0.0454055281,98.7695312500,8,0.0000000000,0.4386330486,22,96,616,24,37424045947888,37424046001253,37424046099973,37424052807635
101116,"void miso::kernels::q6k_gemv_kernel<2048u, 256, 2>(miso::kernels::Q6kGemvParams) [clone .kd]",1,1,101418,1059749,1059749,122880,256,0,0,60,0,32,64,0x0,0x708db844b000,39.9141916929,97.7441098202,1920,0.0000000000,11.0943462199,0,48128,1430784,0,37424046074363,37424046099973,37424046254373,37424052688542
101117,"void miso::kernels::q4k_gemv_kernel<(miso::kernels::ActFormat)1, 2048u, 256, 4>(miso::kernels::Q4kGemvParams) [clone .kd]",1,1,101419,1059749,1059749,61440,256,0,0,72,0,48,64,0x0,0x708db844af40,16.6640407385,96.7225246394,960,0.0000000000,4.4102369873,0,16000,496080,0,37424046205163,37424046254373,37424046364774,37424052568721
101118,"void miso::kernels::deltanet_step_kernel<256>(miso::kernels::DeltaNetStepParams) [clone .kd]",1,1,101420,1059749,1059749,8192,256,3072,0,184,0,64,64,0x0,0x708db8121400,3.4140013969,99.7167266187,128,0.0000000000,3.6950222620,1121,9536,84096,7616,37424046325246,37424046364774,37424046488294,37424052450150
101119,"void miso::kernels::q4k_gemv_kernel<(miso::kernels::ActFormat)1, 4096u, 256, 4>(miso::kernels::Q4kGemvParams) [clone .kd]",1,1,101421,1059749,1059749,61440,256,0,0,112,0,48,64,0x0,0x708db844afc0,13.5674108611,97.3213026928,960,0.0000000000,1.2623450592,0,16384,451392,0,37424046453612,37424046488294,37424046628134,37424052328773
101120,"void miso::kernels::add_rmsnorm_kernel<2048u, 512>(miso::kernels::AddRmsNormParams, unsigned int) [clone .kd]",1,1,101422,1059749,1059749,512,512,512,0,28,0,32,64,0x0,0x708db8461680,0.0466751265,98.7695312500,8,0.0000000000,0.4160629269,20,96,616,24,37424046585022,37424046628134,37424046730055,37424052208408
101121,"void miso::kernels::moe_router_kernel<256>(miso::kernels::MoeRouterParams) [clone .kd]",1,1,101423,1059749,1059749,16640,256,0,0,36,0,32,64,0x0,0x708daf3e3580,1.7536010914,94.2115461618,260,0.0000000000,0.4609956727,0,3084,25709,0,37424046704369,37424046730055,37424046895495,37424052086023
101122,"void miso::kernels::moe_gate_up_kernel<256>(miso::kernels::MoeGateUpParams) [clone .kd]",1,1,101424,1059749,1059749,30720,256,512,0,64,0,48,64,0x0,0x708daf3e35c0,27.4206553547,83.4057212609,480,0.0000000000,1.2646941429,777,23712,1256456,10593,37424046868689,37424046895495,37424047143176,37424051958091
101123,"void miso::kernels::moe_down_kernel<(miso::kernels::QType)1, 256>(miso::kernels::MoeDownParams) [clone .kd]",1,1,101425,1059749,1059749,30720,256,18944,0,108,0,32,64,0x0,0x708daf3e3640,25.6432427487,98.5105863410,480,6.3244578644,0.5269256613,304026,33456,1113176,21840,37424047081425,37424047143176,37424047402377,37424051833604
101124,"void miso::kernels::add_rmsnorm_kernel<2048u, 512>(miso::kernels::AddRmsNormParams, unsigned int) [clone .kd]",1,1,101426,1059749,1059749,512,512,512,0,28,0,32,64,0x0,0x708db8461680,0.0457345396,98.7695312500,8,0.0000000000,1.0663850582,19,96,616,24,37424047347293,37424047402377,37424047566217,37424051706009
101125,"void miso::kernels::q6k_gemv_kernel<2048u, 256, 2>(miso::kernels::Q6kGemvParams) [clone .kd]",1,1,101427,1059749,1059749,122880,256,0,0,60,0,32,64,0x0,0x708db844b000,36.8443273654,97.7421460074,1920,0.0000000000,10.8823993064,0,48128,1430784,0,37424047536349,37424047566217,37424047729578,37424051705053
101126,"void miso::kernels::q4k_gemv_kernel<(miso::kernels::ActFormat)1, 2048u, 256, 4>(miso::kernels::Q4kGemvParams) [clone .kd]",1,1,101428,1059749,1059749,61440,256,0,0,72,0,48,64,0x0,0x708db844af40,16.4876571226,96.7232963714,960,0.0000000000,5.3512181715,0,16000,496080,0,37424047674452,37424047729578,37424047868138,37424065463592
101127,"void miso::kernels::deltanet_step_kernel<256>(miso::kernels::DeltaNetStepParams) [clone .kd]",1,1,101429,1059749,1059749,8192,256,3072,0,184,0,64,64,0x0,0x708db8121400,3.3984291434,99.7167266187,128,0.0000000000,2.2850720040,995,9536,84096,7616,37424047828832,37424047868138,37424047992458,37424065346540
101128,"void miso::kernels::q4k_gemv_kernel<(miso::kernels::ActFormat)1, 4096u, 256, 4>(miso::kernels::Q4kGemvParams) [clone .kd]",1,1,101430,1059749,1059749,61440,256,0,0,112,0,48,64,0x0,0x708db844afc0,13.6733655022,97.3210883065,960,0.0000000000,1.2077383694,0,16384,451392,0,37424047959109,37424047992458,37424048134859,37424065231683
101129,"void miso::kernels::add_rmsnorm_kernel<2048u, 512>(miso::kernels::AddRmsNormParams, unsigned int) [clone .kd]",1,1,101431,1059749,1059749,512,512,512,0,28,0,32,64,0x0,0x708db8461680,0.0447765371,98.7695312500,8,0.0000000000,0.4505879002,17,96,616,24,37424048091488,37424048134859,37424048249739,37424065113063
101130,"void miso::kernels::moe_router_kernel<256>(miso::kernels::MoeRouterParams) [clone .kd]",1,1,101432,1059749,1059749,16640,256,0,0,36,0,32,64,0x0,0x708daf3e3580,1.7144594383,94.2115461618,260,0.0000000000,0.4770053897,0,3084,25709,0,37424048217252,37424048249739,37424048384300,37424064988940
101131,"void miso::kernels::moe_gate_up_kernel<256>(miso::kernels::MoeGateUpParams) [clone .kd]",1,1,101433,1059749,1059749,30720,256,512,0,64,0,48,64,0x0,0x708daf3e35c0,29.0873967493,83.4019030825,480,0.0000000000,1.7054690200,878,23712,1256456,10593,37424048351909,37424048384300,37424048591820,37424064867888
101132,"void miso::kernels::moe_down_kernel<(miso::kernels::QType)1, 256>(miso::kernels::MoeDownParams) [clone .kd]",1,1,101434,1059749,1059749,30720,256,18944,0,108,0,32,64,0x0,0x708daf3e3640,28.0980274206,98.5099712139,480,6.9298443492,0.9768731613,303257,33456,1113176,21840,37424048531509,37424048591820,37424048713421,37424064751213
101133,"void miso::kernels::add_rmsnorm_kernel<2048u, 512>(miso::kernels::AddRmsNormParams, unsigned int) [clone .kd]",1,1,101435,1059749,1059749,512,512,512,0,28,0,32,64,0x0,0x708db8461680,0.0441995055,98.7695312500,8,0.0000000000,0.4282948184,19,96,616,24,37424048658757,37424048713421,37424048826701,37424064636880
101134,"void miso::kernels::q4k_gemv_kernel<(miso::kernels::ActFormat)1, 2048u, 256, 4>(miso::kernels::Q4kGemvParams) [clone .kd]",1,1,101436,1059749,1059749,61440,256,0,0,72,0,48,64,0x0,0x708db844af40,24.5771001465,96.1753788414,960,0.0000000000,9.4245228456,0,25088,888000,0,37424048800779,37424048826701,37424048982861,37424064513742
101135,"void miso::kernels::q6k_gemv_kernel<2048u, 256, 1>(miso::kernels::Q6kGemvParams) [clone .kd]",1,1,101437,1059749,1059749,61440,256,0,0,60,0,32,64,0x0,0x708db844b040,9.5327956171,97.9885057471,960,0.0000000000,0.4130569872,0,6144,149312,0,37424048935218,37424048982861,37424049109102,37424064398585
101136,"void miso::kernels::attn_prep_kernel<256>(miso::kernels::AttnPrepParams) [clone .kd]",1,1,101438,1059749,1059749,4608,256,1536,0,28,0,64,64,0x0,0x708daf3b2400,0.4222774011,97.9857708255,72,0.0000000000,0.4583624913,88,170,4946,288,37424049076359,37424049109102,37424049238222,37424064275002
101137,"void miso::kernels::attn_split_kernel<256>(miso::kernels::AttnSplitParams) [clone .kd]",1,1,101439,1059749,1059749,4608,256,42496,0,96,0,32,64,0x0,0x708daf3b2440,3.0337560790,96.3814238567,72,0.5244588538,0.3221219241,4546,1136,74846,22744,37424049215149,37424049238222,37424049377743,37424064155514
