name,calls_per_token,us_per_token,kernel_time_percent
"('void miso::kernels::attn_split_kernel<256>(miso::kernels::AttnSplitParams) [clone .kd]', '29184')",10.0,2959.39590625,29.403509453589205
"('void miso::kernels::moe_gate_up_kernel<256>(miso::kernels::MoeGateUpParams) [clone .kd]', '30720')",40.0,1164.153328125,11.566615104339178
"('void miso::kernels::q4k_gemv_kernel<(miso::kernels::ActFormat)1, 2048u, 256, 4>(miso::kernels::Q4kGemvParams) [clone .kd]', '61440')",40.0,920.326359375,9.144036710708399
"('void miso::kernels::q4k_gemv_kernel<(miso::kernels::ActFormat)1, 4096u, 256, 4>(miso::kernels::Q4kGemvParams) [clone .kd]', '61440')",40.0,851.238734375,8.457606540779686
"('void miso::kernels::add_rmsnorm_kernel<2048u, 512>(miso::kernels::AddRmsNormParams, unsigned int) [clone .kd]', '512')",81.0,726.208890625,7.2153543010844725
"('void miso::kernels::moe_down_kernel<(miso::kernels::QType)1, 256>(miso::kernels::MoeDownParams) [clone .kd]', '30720')",20.0,665.599078125,6.613156673163083
"('void miso::kernels::moe_down_kernel<(miso::kernels::QType)0, 256>(miso::kernels::MoeDownParams) [clone .kd]', '30720')",20.0,581.104296875,5.773646456224421
"('void miso::kernels::q6k_gemv_kernel<2048u, 256, 1>(miso::kernels::Q6kGemvParams) [clone .kd]', '491520')",1.0,564.699375,5.610652963390885
"('void miso::kernels::deltanet_step_kernel<256>(miso::kernels::DeltaNetStepParams) [clone .kd]', '8192')",30.0,425.13440625,4.223984870296673
"('void miso::kernels::attn_combine_kernel<256>(miso::kernels::AttnCombineParams) [clone .kd]', '4096')",10.0,407.646921875,4.050235419926118
"('void miso::kernels::q6k_gemv_kernel<2048u, 256, 2>(miso::kernels::Q6kGemvParams) [clone .kd]', '122880')",14.0,376.776859375,3.7435214136538657
"('void miso::kernels::moe_router_kernel<256>(miso::kernels::MoeRouterParams) [clone .kd]', '16640')",40.0,290.964546875,2.890920672908315
"('void miso::kernels::attn_prep_kernel<256>(miso::kernels::AttnPrepParams) [clone .kd]', '4608')",10.0,54.699875,0.5434785823268549
"('void miso::kernels::q6k_gemv_kernel<2048u, 256, 1>(miso::kernels::Q6kGemvParams) [clone .kd]', '61440')",6.0,53.752484375,0.534065644659543
"('void miso::kernels::argmax_partial_kernel<256>(miso::kernels::ArgmaxParams) [clone .kd]', '61440')",1.0,10.885,0.10814950433849832
"('void miso::kernels::embed_q4k_kernel<2048u, 256>(miso::kernels::EmbedParams, unsigned int) [clone .kd]', '256')",1.0,7.0625,0.07017049833630172
"('void miso::kernels::argmax_final_kernel<256>(miso::kernels::ArgmaxParams) [clone .kd]', '256')",1.0,5.122484375,0.05089519027450182
