ts,edge_c,junction_c,mem_c,sclk,mclk,power_w
1790422474,34.0,34.0,38.0,925Mhz,800Mhz,16.0
1790422476,35.0,41.0,39.0,1725Mhz,350Mhz,26.0
1790422478,35.0,41.0,39.0,925Mhz,350Mhz,50.0
1790422479,35.0,41.0,39.0,1725Mhz,800Mhz,50.0
1790422481,35.0,42.0,39.0,1725Mhz,800Mhz,22.0
1790422483,35.0,40.0,40.0,1725Mhz,800Mhz,48.0
1790422484,37.0,53.0,44.0,1725Mhz,800Mhz,221.0
1790422486,40.0,54.0,48.0,1725Mhz,1000Mhz,151.0
1790422488,41.0,55.0,50.0,1725Mhz,1000Mhz,166.0
1790422489,39.0,40.0,43.0,930Mhz,350Mhz,17.0
1790422491,37.0,39.0,42.0,925Mhz,800Mhz,20.0
1790422493,38.0,44.0,43.0,1725Mhz,800Mhz,17.0
1790422494,37.0,42.0,43.0,1725Mhz,800Mhz,38.0
1790422496,38.0,44.0,41.0,925Mhz,800Mhz,38.0
1790422498,37.0,43.0,41.0,925Mhz,800Mhz,37.0
1790422499,37.0,43.0,41.0,1725Mhz,800Mhz,50.0
1790422501,41.0,62.0,47.0,1725Mhz,1000Mhz,149.0
1790422503,42.0,56.0,50.0,1725Mhz,1000Mhz,168.0
1790422504,43.0,57.0,51.0,1725Mhz,1000Mhz,146.0
1790422506,40.0,40.0,45.0,930Mhz,350Mhz,16.0
1790422508,39.0,43.0,44.0,1725Mhz,800Mhz,49.0
1790422509,39.0,43.0,44.0,1725Mhz,800Mhz,47.0
1790422511,39.0,45.0,44.0,1485Mhz,800Mhz,45.0
1790422513,39.0,44.0,43.0,1485Mhz,800Mhz,50.0
1790422514,38.0,42.0,43.0,925Mhz,800Mhz,33.0
1790422516,38.0,44.0,43.0,925Mhz,800Mhz,20.0
1790422518,42.0,57.0,49.0,1725Mhz,1000Mhz,156.0
1790422519,43.0,57.0,50.0,1725Mhz,1000Mhz,146.0
1790422521,44.0,58.0,52.0,1725Mhz,800Mhz,23.0
1790422523,40.0,41.0,45.0,930Mhz,350Mhz,17.0
1790422524,39.0,40.0,44.0,930Mhz,350Mhz,17.0
