ts,edge_c,junction_c,mem_c,sclk,mclk,power_w
1790425919,34.0,34.0,38.0,1485Mhz,350Mhz,48.0
1790425920,34.0,41.0,39.0,1725Mhz,800Mhz,48.0
1790425922,35.0,41.0,39.0,1725Mhz,800Mhz,18.0
1790425923,36.0,39.0,41.0,1725Mhz,800Mhz,39.0
1790425925,35.0,41.0,40.0,1725Mhz,350Mhz,17.0
1790425926,35.0,41.0,41.0,1725Mhz,800Mhz,47.0
1790425928,35.0,42.0,40.0,1725Mhz,800Mhz,48.0
1790425929,39.0,59.0,45.0,1725Mhz,1000Mhz,159.0
1790425930,40.0,55.0,49.0,1725Mhz,1000Mhz,161.0
1790425932,41.0,55.0,49.0,1725Mhz,1000Mhz,154.0
1790425933,39.0,41.0,45.0,930Mhz,350Mhz,16.0
1790425935,38.0,38.0,43.0,1725Mhz,800Mhz,16.0
1790425936,38.0,42.0,43.0,1485Mhz,800Mhz,47.0
1790425938,37.0,44.0,43.0,1725Mhz,800Mhz,48.0
1790425939,37.0,44.0,43.0,1725Mhz,800Mhz,48.0
1790425941,38.0,44.0,43.0,925Mhz,800Mhz,48.0
1790425942,38.0,44.0,42.0,1725Mhz,800Mhz,48.0
1790425944,37.0,42.0,42.0,1485Mhz,800Mhz,48.0
1790425945,41.0,63.0,48.0,1725Mhz,1000Mhz,164.0
1790425947,41.0,57.0,50.0,1725Mhz,1000Mhz,148.0
1790425948,43.0,58.0,52.0,1725Mhz,1000Mhz,162.0
1790425950,40.0,40.0,45.0,930Mhz,350Mhz,17.0
1790425951,39.0,40.0,44.0,925Mhz,800Mhz,53.0
1790425953,39.0,45.0,44.0,1725Mhz,800Mhz,53.0
1790425954,39.0,45.0,44.0,1485Mhz,800Mhz,53.0
1790425956,38.0,45.0,44.0,1725Mhz,350Mhz,53.0
1790425957,39.0,44.0,43.0,1485Mhz,800Mhz,53.0
1790425958,38.0,44.0,43.0,925Mhz,800Mhz,51.0
1790425960,38.0,44.0,43.0,1725Mhz,800Mhz,22.0
1790425961,42.0,57.0,49.0,1725Mhz,1000Mhz,156.0
1790425963,43.0,58.0,50.0,1725Mhz,1000Mhz,152.0
1790425964,44.0,59.0,52.0,1725Mhz,1000Mhz,184.0
1790425966,40.0,41.0,46.0,930Mhz,350Mhz,16.0
1790425967,40.0,41.0,48.0,925Mhz,1000Mhz,17.0
1790425969,39.0,50.0,47.0,925Mhz,350Mhz,16.0
1790425970,42.0,55.0,47.0,1725Mhz,1000Mhz,133.0
1790425972,43.0,56.0,49.0,1725Mhz,1000Mhz,148.0
