Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,VALUBusy,VALUUtilization,SQ_WAVES,LDSBankConflict,MemUnitStalled,SQ_WAIT_INST_LDS,SQ_INSTS_VMEM_RD,SQ_INSTS_VALU,SQ_INSTS_LDS,DispatchNs,BeginNs,EndNs,CompleteNs
101105,"void miso::kernels::embed_q4k_kernel<2048u, 256>(miso::kernels::EmbedParams, unsigned int) [clone .kd]",1,1,101407,1553930,1553930,256,256,0,0,24,0,32,64,0x0,0x73c6a508d740,0.0510043448,100.0000000000,4,0.0000000000,0.2809434621,0,128,972,0,48298370409738,48298370051886,48298392035051,48298392757198
101106,"void miso::kernels::add_rmsnorm_kernel<2048u, 512>(miso::kernels::AddRmsNormParams, unsigned int) [clone .kd]",1,1,101408,1553930,1553930,512,512,512,0,28,0,32,64,0x0,0x73c6a508d680,0.0301899629,98.6135563380,8,0.0000000000,0.2002831312,28,64,544,24,48298391937936,48298392035051,48298392250410,48298402775171
101107,"void miso::kernels::q6k_gemv_kernel<2048u, 256, 2>(miso::kernels::Q6kGemvParams) [clone .kd]",1,1,101409,1553930,1553930,122880,256,0,0,60,0,32,64,0x0,0x73c6a5073000,22.3928437332,97.7508821938,1920,0.0000000000,11.6861313869,0,48128,1430784,0,48298392223072,48298392250410,48298392564490,48298402664862
101108,"void miso::kernels::q4k_gemv_kernel<(miso::kernels::ActFormat)1, 2048u, 256, 4>(miso::kernels::Q4kGemvParams) [clone .kd]",1,1,101410,1553930,1553930,61440,256,0,0,72,0,48,64,0x0,0x73c6a5072f40,12.9184962995,96.7265763699,960,0.0000000000,4.9642548346,0,16000,496080,0,48298392484516,48298392564490,48298392737450,48298402557640
101109,"void miso::kernels::deltanet_step_kernel<256>(miso::kernels::DeltaNetStepParams) [clone .kd]",1,1,101411,1553930,1553930,8192,256,3072,0,184,0,64,64,0x0,0x73c6a5051400,2.0173982457,99.7167266187,128,0.0000000000,1.5376220563,1082,9536,84096,7616,48298392685269,48298392737450,48298392916969,48298402449744
101110,"void miso::kernels::q4k_gemv_kernel<(miso::kernels::ActFormat)1, 4096u, 256, 4>(miso::kernels::Q4kGemvParams) [clone .kd]",1,1,101412,1553930,1553930,61440,256,0,0,112,0,48,64,0x0,0x73c6a5072fc0,13.5169933123,97.3213026928,960,0.0000000000,1.8818564638,0,16384,451392,0,48298392862328,48298392916969,48298393068649,48298402342258
101111,"void miso::kernels::add_rmsnorm_kernel<2048u, 512>(miso::kernels::AddRmsNormParams, unsigned int) [clone .kd]",1,1,101413,1553930,1553930,512,512,512,0,28,0,32,64,0x0,0x73c6a508d680,0.0444629707,98.7695312500,8,0.0000000000,0.3880847493,19,96,616,24,48298393026823,48298393068649,48298393217609,48298402231875
101112,"void miso::kernels::moe_router_kernel<256>(miso::kernels::MoeRouterParams) [clone .kd]",1,1,101414,1553930,1553930,16640,256,0,0,36,0,32,64,0x0,0x73c6a4de3580,1.6267167901,94.2115461618,260,0.0000000000,0.4653485121,0,3084,25709,0,48298393193594,48298393217609,48298393364969,48298402122681
101113,"void miso::kernels::moe_gate_up_kernel<256>(miso::kernels::MoeGateUpParams) [clone .kd]",1,1,101415,1553930,1553930,30720,256,512,0,64,0,48,64,0x0,0x73c6a4de35c0,29.7037455273,83.4142140978,480,0.0000000000,1.7676283893,757,23712,1256456,10593,48298393338214,48298393364969,48298393551848,48298402006985
101114,"void miso::kernels::moe_down_kernel<(miso::kernels::QType)1, 256>(miso::kernels::MoeDownParams) [clone .kd]",1,1,101416,1553930,1553930,30720,256,9728,0,108,0,32,64,0x0,0x73c6a4de3640,28.5379441235,98.3566889913,480,1.2861090178,0.7346788928,2225,26976,1014536,9600,48298393486121,48298393551848,48298393794248,48298401884881
