# post-topk MoE grid sweep
up=90 dn=90 L0=78.1 L5=74.3
up=90 dn=120 L0=74.2 L5=71.6
up=90 dn=150 L0=89.0 L5=72.7
up=90 dn=180 L0=86.4 L5=72.3
up=120 dn=90 L0=73.5 L5=69.8
up=120 dn=120 L0=70.4 L5=67.2
up=120 dn=150 L0=85.2 L5=68.1
up=120 dn=180 L0=82.2 L5=67.9
up=150 dn=90 L0=75.2 L5=71.5
up=150 dn=120 L0=72.2 L5=68.9
up=150 dn=150 L0=86.4 L5=70.0
up=150 dn=180 L0=83.8 L5=69.7
up=180 dn=90 L0=73.3 L5=69.5
up=180 dn=120 L0=70.1 L5=67.0
up=180 dn=150 L0=84.2 L5=68.0
up=180 dn=180 L0=81.6 L5=67.6
up=240 dn=90 L0=75.0 L5=71.2
up=240 dn=120 L0=71.9 L5=68.7
up=240 dn=150 L0=86.3 L5=69.7
up=240 dn=180 L0=83.4 L5=69.4
# e2e medians: 120/120=133.3, 180/120=132.9, 180/90=133.2, 150/120=133.8 — keep 120/120
